ticker,company_name,Current Market Value,Closing Price,Total Volume,% Chg in Price,Net Sales,FE Growth Sales Mean CY 1CY Roll Over -1AW,EBITDA Margin,Net Inc Before Extra & Disc Op,Free Cash Flow,Total Debt% Equity,Price / Earns Ratio,Entrpr Value/ EBITDA,Price /Sales CFY,Number of Insider Purchases (last year),EPS Report Date,FE Price_Tgt Mean ,Option Volume,Put/Call Ratio,Option Open interest,Theor. Imp Vol,Industry,Short Interest,3y BETA Rel to Loc Idx,Local Price 52 Week Low,Local Price 52 Week High,Average Daily Volume,Entrpr Value/ Sales,EV/FCF,1y - Compound Tot Ret,2y - Compound Tot Ret,5y - Compound Tot Ret,10y - Compound Tot Ret,IV Rank,IV Max - 1y,IV Min -1y,Exchng Ticker,Net Sales - 0y ago,Net Sales - 1y ago,Net Sales - 2y ago,Net Sales - 3y ago,Net Sales - 5y ago,Net Sales - 10y ago
NVDA,NVIDIA Corporation,"5,196,950.0",214.8,160.9,1.8,"206,339.3",0.0,61.3,"113,110.7","83,676.0",7.8,38.3,34.1,21.3,0.0,20260225,309.0,"3,475,798.0",0.4,"16,553,730.0",40.0,Semiconductors,1.3,1.9,138.8,236.5,160.9,21.1,54.4,52.1,86.8,"1,168.7","18,723.3",46.0,0.5,0.4,NVDA-USA,"215,938.0","130,497.0","60,922.0","26,974.0","16,675.0","5,010.0"
AAPL,Apple Inc.,"4,556,913.0",310.3,50.8,0.3,"435,617.0",0.0,35.1,"117,777.0","98,767.0",102.6,34.2,26.8,9.2,0.0,20251030,316.1,"1,389,995.0",0.4,"5,175,109.0",24.5,Telecommunications Equipment,0.9,0.9,195.1,316.9,50.8,9.3,39.4,53.2,61.3,157.6,"1,291.9",46.9,0.3,0.2,AAPL-USA,"416,161.0","391,035.0","383,285.0","394,328.0","274,150.0","231,283.0"
GOOGL,Alphabet Inc. Class A,"4,349,566.0",359.0,55.4,3.7,"402,962.0",0.1,38.2,"132,170.0","73,266.0",16.1,29.0,24.4,9.5,0.0,20260204,433.5,"708,377.0",0.4,"3,192,290.0",31.5,Internet Software/Services,1.4,1.1,162.0,408.6,55.4,9.4,51.4,116.8,109.0,208.4,883.8,52.4,0.4,0.3,GOOGL-USA,"402,962.0","349,807.0","307,157.0","280,875.0","182,350.0","73,590.0"
MSFT,Microsoft Corporation,"3,174,465.0",427.3,39.0,0.2,"305,453.0",-0.0,60.5,"119,262.0","71,611.0",31.5,36.5,22.8,13.2,0.0,20250730,560.0,"958,859.0",0.3,"4,232,595.0",30.8,Packaged Software,1.1,1.1,356.3,555.5,39.0,13.2,52.1,-7.0,5.0,81.2,833.3,71.5,0.4,0.2,MSFT-USA,"281,724.0","245,122.0","211,915.0","198,270.0","143,015.0","92,972.0"
AMZN,"Amazon.com, Inc.","2,689,490.0",250.0,51.4,1.5,"716,924.0",0.0,21.0,"77,670.0","7,695.0",41.3,32.2,16.3,3.5,0.0,20260205,317.4,"1,122,610.0",0.4,"4,793,436.0",32.4,Internet Retail,1.1,1.5,196.0,278.6,51.4,3.6,330.8,21.5,40.2,56.9,589.2,55.5,0.4,0.3,AMZN-USA,"716,924.0","637,959.0","574,785.0","513,983.0","386,064.0","107,006.0"
AVGO,Broadcom Inc.,"2,268,996.0",479.2,50.1,-12.6,"66,817.0",0.3,54.5,"24,356.7","26,914.0",81.8,77.6,52.8,28.1,0.0,20251211,483.9,"562,084.0",0.5,"1,989,650.0",62.6,Semiconductors,1.1,1.5,241.1,495.0,50.1,28.9,68.5,88.1,269.9,"1,039.5","3,698.6",88.5,0.7,0.4,AVGO-USA,"63,887.0","51,574.0","35,819.0","33,203.0","23,888.0","6,824.0"
TSLA,"Tesla, Inc.","1,591,299.0",423.7,44.5,-1.2,"94,827.0",-0.0,11.6,"3,794.0","6,220.0",17.9,418.2,141.1,16.7,0.0,20260128,395.2,"3,439,664.0",0.5,"6,681,324.0",46.0,Motor Vehicles,2.6,1.8,273.2,498.8,44.5,16.4,250.4,23.1,140.3,121.9,"2,802.2",21.1,0.7,0.4,TSLA-USA,"94,827.0","97,690.0","96,773.0","81,462.0","31,536.0","4,046.0"
META,Meta Platforms Inc Class A,"1,581,390.0",623.0,23.0,0.7,"200,966.0",0.0,50.7,"60,458.0","46,109.0",39.2,28.1,16.5,8.5,0.0,20260128,822.3,"916,578.0",0.3,"3,242,762.0",34.8,Internet Software/Services,1.5,1.5,520.3,796.3,23.0,8.5,36.9,-6.3,31.3,92.6,429.9,47.8,0.5,0.3,META-USA,"200,966.0","164,501.0","134,902.0","116,609.0","85,965.0","17,928.0"
MU,"Micron Technology, Inc.","1,217,463.0","1,079.6",40.3,-7.7,"47,581.0",0.0,57.4,"15,976.3","1,668.0",18.8,16.1,7.7,3.7,0.0,20250923,780.7,"486,884.0",0.9,"3,706,848.0",101.7,Semiconductors,3.1,3.0,101.7,"1,089.3",40.3,3.8,85.3,958.4,748.3,"1,249.6","8,509.0",100.0,0.9,0.4,MU-USA,"37,378.0","25,111.0","15,540.0","30,758.0","21,435.0","16,192.0"
BRK.B,Berkshire Hathaway Inc. Class B,"1,025,304.0",475.4,6.6,0.7,"371,444.0",0.2,19.5,"66,968.0","25,042.0",18.9,16.2,11.6,2.9,4.0,20260228,509.9,"31,716.0",0.3,"605,398.0",16.6,Property/Casualty Insurance,0.8,0.3,455.2,516.9,6.6,2.3,33.9,-4.5,14.6,62.8,236.8,58.2,0.2,0.2,BRK.B-USA,"371,444.0","371,433.0","364,482.0","302,020.0","245,510.0","200,622.0"
